@RELATION polyps

@ATTRIBUTE FILE_ID NUMERIC
@ATTRIBUTE C1ENERGYMEAN REAL
@ATTRIBUTE C1ENERGYVARIANCE REAL
@ATTRIBUTE C2ENERGYMEAN REAL
@ATTRIBUTE C2ENERGYVARIANCE REAL
@ATTRIBUTE C3ENERGYMEAN REAL
@ATTRIBUTE C3ENERGYVARIANCE REAL
@ATTRIBUTE C1ENTROPYMEAN REAL
@ATTRIBUTE C1ENTROPYVARIANCE REAL
@ATTRIBUTE C2ENTROPYMEAN REAL
@ATTRIBUTE C2ENTROPYVARIANCE REAL
@ATTRIBUTE C3ENTROPYMEAN REAL
@ATTRIBUTE C3ENTROPYVARIANCE REAL
@ATTRIBUTE C1CORRELATIONMEAN REAL
@ATTRIBUTE C1CORRELATIONVARIANCE REAL
@ATTRIBUTE C2CORRELATIONMEAN REAL
@ATTRIBUTE C2CORRELATIONVARIANCE REAL
@ATTRIBUTE C3CORRELATIONMEAN REAL
@ATTRIBUTE C3CORRELATIONVARIANCE REAL
@ATTRIBUTE C1DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C1DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C2DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C2DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C3DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C3DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C1INERTIAMEAN REAL
@ATTRIBUTE C1INERTIAVARIANCE REAL
@ATTRIBUTE C2INERTIAMEAN REAL
@ATTRIBUTE C2INERTIAVARIANCE REAL
@ATTRIBUTE C3INERTIAMEAN REAL
@ATTRIBUTE C3INERTIAVARIANCE REAL
@ATTRIBUTE C1CLUSTERSHADEMEAN REAL
@ATTRIBUTE C1CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C2CLUSTERSHADEMEAN REAL
@ATTRIBUTE C2CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C3CLUSTERSHADEMEAN REAL
@ATTRIBUTE C3CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C1CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C1CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C2CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C2CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C3CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C3CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C1HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C1HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE C2HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C2HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE C3HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C3HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE CLASS {0,1}

@DATA
1,0.19356,0.00029,0.01931,0.00000,0.01421,0.00000,3.84933,0.00285,6.77369,0.00250,6.64673,0.00248,-0.00340,0.00025,-0.00486,0.00013,-0.00488,0.00013,0.56854,0.00452,0.32119,0.00163,0.29611,0.00214,27.86353,27.35453,61.01927,244.50776,78.00759,649.22746,-668.78307,66163.47674,981.57472,947573.00925,736.21219,24839.72003,213654.60168,4021999990.92166,161160.27993,27706202935.41452,482086.67714,69498906132.71344,23095413.91550,56188224.51824,37417352.15272,1178574962.09489,44274914.43028,2235147911.05711,0
2,0.27215,0.00029,0.02268,0.00000,0.03041,0.00000,3.21957,0.00253,6.41445,0.00209,5.77881,0.00309,-0.00432,0.00039,-0.00485,0.00011,-0.01231,0.00065,0.68523,0.00195,0.33993,0.00210,0.38108,0.00158,22.84378,19.33594,68.67425,318.58817,37.30939,144.97044,-503.48548,78412.91437,1200.81459,1506358.07612,422.05819,112178.54023,193338.62482,6194886047.57395,239407.06349,58660577954.39420,89633.89826,4488429159.79754,18984809.55421,51690181.11726,36263187.75585,1940349463.28056,26901355.59568,732632620.90816,0
3,0.25149,0.00023,0.03288,0.00000,0.06365,0.00001,2.93706,0.00037,5.74798,0.00353,4.60717,0.00552,0.00795,0.00025,0.00029,0.00011,0.00263,0.00023,0.62962,0.00382,0.38926,0.00227,0.48541,0.00252,26.60873,40.63988,65.02291,460.91995,41.57757,223.21959,1350.13230,1592201.60100,4323.69401,7424196.08514,6003.66823,15257803.88812,419406.82909,51963918396.10935,588695.69850,208301155865.02615,978626.56607,635968767416.64282,18856719.52597,462235126.22032,25580081.44722,7464630681.05967,14662384.66930,2289222334.43770,0
4,0.34552,0.00154,0.16878,0.00054,0.10639,0.00001,3.19454,0.04732,4.96089,0.06426,4.09521,0.00507,0.00114,0.00000,-0.00232,0.00005,0.01158,0.00039,0.68817,0.00937,0.50237,0.01177,0.56776,0.00267,243.22631,2693.62771,143.66297,2931.51354,20.42849,58.47386,-63670.12333,1555898600.80611,956.81543,688544.23005,5546.18352,27792065.19590,13016675.88011,90345633714675.64100,280164.13825,33594688177.45076,979889.00029,1523266116591.44430,16610878.94470,3077032572.20318,12794728.00132,935742267.41433,14323533.59198,682006280.68523,0
5,0.31720,0.00138,0.04486,0.00003,0.02085,0.00000,3.67010,0.08730,6.36241,0.01977,6.53926,0.00581,-0.00046,0.00003,-0.00342,0.00015,-0.00526,0.00032,0.65066,0.01110,0.40988,0.00671,0.33666,0.00299,126.12076,1856.14532,69.67408,592.36598,43.02434,146.46834,-4674.36499,7474523.14945,437.54225,40507.28390,1195.55741,560088.61519,1199711.98527,897145502076.64429,98879.73868,4215224483.71498,136955.71176,11462232140.27620,17303949.32947,657668736.79469,25011662.11730,1604803137.38374,38986302.52560,4159696517.51157,0
6,0.12185,0.00028,0.01722,0.00001,0.01379,0.00000,5.44932,0.01843,7.27777,0.00806,6.86519,0.00582,0.00006,0.00001,-0.00192,0.00004,-0.00388,0.00032,0.50251,0.00541,0.31692,0.00378,0.30874,0.00247,214.60263,2425.90744,101.00597,688.58030,41.15029,154.03834,-10874.55929,16289488.51165,787.82981,155683.50287,1680.71338,2114149.92987,2783313.28347,1930034179051.16460,190170.06147,12080043922.26497,282849.05483,113943253828.52390,33018371.32888,3649660425.03342,38953315.87923,7234381262.56307,47622064.34038,5166746154.54383,0
7,0.41798,0.00183,0.11521,0.00011,0.13937,0.00001,2.45110,0.02429,4.02259,0.00870,3.45221,0.00193,-0.00186,0.00463,-0.02088,0.02330,0.01028,0.00050,0.73983,0.00608,0.59722,0.00552,0.62401,0.00207,8.24098,5.41806,4.86692,3.18556,16.46745,71.68199,-741.55631,328663.72307,110.58782,11974.13912,6015.84355,43993515.85357,148987.62690,23408105273.64334,9711.36883,105937160.32501,1265595.08630,2990415268595.46630,14364750.15116,2737181.93835,8931360.01046,58101837.92960,11835548.70190,397722344.12653,0
8,0.17126,0.00049,0.06184,0.00000,0.02630,0.00000,4.41273,0.03143,4.98667,0.00100,5.88689,0.00990,-0.01094,0.00082,-0.00736,0.00260,0.00202,0.00043,0.54815,0.01010,0.47912,0.00308,0.35805,0.00190,31.08602,110.44567,13.43787,20.49689,25.88662,89.32850,14.22012,904.95206,388.35143,156453.68339,4196.91482,21591589.60252,23964.57347,644940949.19837,33603.60490,1614778387.27935,735249.19571,1012413519074.06590,26822115.39951,6543217.02688,9827027.14071,414586724.49892,29537393.77794,5241335217.74108,0
9,0.12200,0.00010,0.00500,0.00000,0.02822,0.00000,5.01209,0.00324,8.07461,0.00084,5.65663,0.00188,0.00106,0.00023,-0.00169,0.00004,-0.00917,0.00073,0.51286,0.00260,0.20915,0.00179,0.39038,0.00348,35.27158,63.60587,112.05408,909.34363,38.27857,216.32028,2156.34676,2231926.36955,3245.74624,4290185.59056,261.07699,4417.08369,314562.52164,49532864502.21700,501730.60984,173702134671.43604,245331.89680,67985304448.07080,30078773.97353,1488657279.61948,74906532.87101,31805486183.30164,28128876.17885,1519530441.31064,0
10,0.57649,0.00058,0.06895,0.00001,0.05696,0.00001,1.42454,0.00247,4.54781,0.00905,4.82688,0.00971,0.12237,0.08373,0.00538,0.00206,0.00690,0.00098,0.82972,0.00130,0.49795,0.00363,0.47310,0.00212,1.34381,0.09354,11.25906,23.35115,14.77192,39.99159,-88.18971,2713.90249,1904.67816,4368282.36409,3597.98397,15670856.40557,16559.55991,175085385.68595,270400.92790,135037685738.61874,686571.77294,877434998960.97546,11317152.65573,38054981.05140,17330053.33541,390567569.32426,19541624.18366,668728109.20983,1
