@RELATION polyps

@ATTRIBUTE FILE_ID NUMERIC
@ATTRIBUTE C1ENERGYMEAN REAL
@ATTRIBUTE C1ENERGYVARIANCE REAL
@ATTRIBUTE C2ENERGYMEAN REAL
@ATTRIBUTE C2ENERGYVARIANCE REAL
@ATTRIBUTE C3ENERGYMEAN REAL
@ATTRIBUTE C3ENERGYVARIANCE REAL
@ATTRIBUTE C1ENTROPYMEAN REAL
@ATTRIBUTE C1ENTROPYVARIANCE REAL
@ATTRIBUTE C2ENTROPYMEAN REAL
@ATTRIBUTE C2ENTROPYVARIANCE REAL
@ATTRIBUTE C3ENTROPYMEAN REAL
@ATTRIBUTE C3ENTROPYVARIANCE REAL
@ATTRIBUTE C1CORRELATIONMEAN REAL
@ATTRIBUTE C1CORRELATIONVARIANCE REAL
@ATTRIBUTE C2CORRELATIONMEAN REAL
@ATTRIBUTE C2CORRELATIONVARIANCE REAL
@ATTRIBUTE C3CORRELATIONMEAN REAL
@ATTRIBUTE C3CORRELATIONVARIANCE REAL
@ATTRIBUTE C1DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C1DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C2DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C2DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C3DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C3DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C1INERTIAMEAN REAL
@ATTRIBUTE C1INERTIAVARIANCE REAL
@ATTRIBUTE C2INERTIAMEAN REAL
@ATTRIBUTE C2INERTIAVARIANCE REAL
@ATTRIBUTE C3INERTIAMEAN REAL
@ATTRIBUTE C3INERTIAVARIANCE REAL
@ATTRIBUTE C1CLUSTERSHADEMEAN REAL
@ATTRIBUTE C1CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C2CLUSTERSHADEMEAN REAL
@ATTRIBUTE C2CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C3CLUSTERSHADEMEAN REAL
@ATTRIBUTE C3CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C1CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C1CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C2CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C2CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C3CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C3CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C1HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C1HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE C2HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C2HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE C3HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C3HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE CLASS {0,1}

@DATA
1,0.01511,0.00000,0.01978,0.00000,0.01787,0.00000,6.67953,0.00248,6.32226,0.00183,6.43150,0.00217,-0.00461,0.00012,-0.00511,0.00015,-0.00496,0.00015,0.29577,0.00178,0.33579,0.00268,0.32325,0.00238,80.41683,672.40869,74.52990,632.26260,72.46738,574.06374,848.34130,45296.73762,685.07161,29653.64493,686.25783,26829.12198,501485.21503,74441919437.20250,486432.54160,71308530371.63533,470106.83393,65511888719.16786,42951909.14095,2174142402.49976,37827723.06471,1408897397.47432,39402135.20001,1537832596.50942,0
2,0.02536,0.00000,0.04120,0.00000,0.03226,0.00000,5.90506,0.00365,5.50470,0.00230,5.72598,0.00259,-0.01169,0.00062,-0.01317,0.00078,-0.01194,0.00078,0.35909,0.00200,0.42121,0.00155,0.39962,0.00180,38.03466,149.09907,35.53950,142.88034,32.97008,114.11314,458.82481,144194.05071,378.61413,79944.24003,392.28998,83381.08858,94973.50852,5385070274.64454,86870.99127,3888255761.54345,84085.90806,3715103893.34617,28110643.52049,851768742.69352,24215003.68518,589946750.87233,25763136.01789,664566159.46944,0
3,0.08145,0.00002,0.08005,0.00001,0.06138,0.00000,4.40664,0.00723,4.38131,0.00440,4.72184,0.00605,0.00335,0.00023,0.00134,0.00032,-0.00163,0.00056,0.51489,0.00209,0.52002,0.00214,0.48177,0.00240,39.68908,201.62381,38.77711,199.03650,34.00623,154.84035,6118.76784,15905805.57373,4293.31064,7284781.84508,1976.33172,1522837.72187,986521.13161,646425982210.08337,656020.30863,265627009132.48053,274628.81597,49609985347.84221,12862910.84943,1770048470.74626,14564235.95730,1856337153.56096,19810058.72479,2551447045.55571,0
4,0.10421,0.00001,0.11409,0.00001,0.09924,0.00001,4.08550,0.00558,4.02053,0.00661,4.11809,0.00465,0.01158,0.00042,0.01148,0.00041,0.01116,0.00035,0.56478,0.00319,0.57540,0.00256,0.56229,0.00293,20.12835,54.14559,20.38795,56.36062,21.39459,64.70868,5251.94921,24487081.31314,5367.51356,25157438.65814,6019.59250,32642639.18569,911426.24187,1300525900107.83890,933596.87118,1346510943986.50710,1091569.84236,1885535685380.81010,14564060.78372,682418760.53061,13926158.05476,631566981.00776,14846694.09749,747052551.60235,0
5,0.01540,0.00000,0.02023,0.00000,0.02074,0.00000,6.87429,0.01190,6.54595,0.00780,6.55253,0.00521,-0.00378,0.00010,-0.00513,0.00029,-0.00599,0.00032,0.27450,0.00341,0.32960,0.00317,0.33586,0.00302,77.11793,432.21614,45.47737,165.49248,43.08874,145.35102,1520.19978,910622.45169,1285.35577,653616.35983,1056.17021,438135.52375,209131.84717,26661617848.76721,152909.61742,14353833961.57017,121998.31401,9095358579.23090,49110977.17744,8674591587.46966,39292717.11090,4455896814.95958,39216307.89879,4059682132.41908,0
6,0.00980,0.00000,0.02383,0.00000,0.01374,0.00000,7.28811,0.01297,6.43604,0.00277,6.87616,0.00420,-0.00313,0.00014,-0.00395,0.00041,-0.00447,0.00034,0.25609,0.00229,0.34459,0.00187,0.30823,0.00251,59.18750,275.49623,36.81703,128.36956,41.03424,153.60923,1655.23086,1955811.47816,1724.91682,2196129.94167,1619.47868,2014804.74917,276195.39367,102926723428.18997,287193.12158,116804718125.97327,274966.37715,109972282164.91756,56495754.93356,8770769740.24151,35100368.18613,2531923496.36381,47482109.89940,4906141196.55893,0
7,0.12950,0.00001,0.16371,0.00001,0.15426,0.00001,3.55669,0.00187,3.18185,0.00109,3.24831,0.00085,0.01010,0.00050,0.01098,0.00051,0.01268,0.00070,0.61089,0.00238,0.65341,0.00147,0.64578,0.00153,16.57669,72.44724,15.93735,67.42737,13.70142,48.23879,6000.17927,43732470.81559,5911.17509,42464707.09869,4760.99538,27540131.20823,1260766.30927,2965964462647.13280,1242107.86703,2880127659319.40970,969645.11367,1754017045534.63870,12317311.54871,422674564.41632,10774526.43309,329309266.45457,11084754.82735,289355796.46698,0
8,0.02589,0.00000,0.02725,0.00000,0.01831,0.00000,5.84744,0.01076,5.88089,0.01324,6.51098,0.00619,0.00251,0.00042,0.00165,0.00044,-0.00047,0.00030,0.35546,0.00190,0.36048,0.00183,0.31394,0.00148,25.30656,92.09863,26.00535,87.23939,35.02715,125.61533,4387.27142,23578792.74894,3951.91396,19064631.84482,3793.90185,17485567.59957,769536.77262,1110044502835.09500,671866.66599,841382992519.95020,630569.82988,730176216808.37427,29489076.72767,5547688872.18904,29250222.20391,5111405792.65694,36618540.70313,8673228286.79153,0
9,0.02492,0.00000,0.02938,0.00000,0.03179,0.00000,5.82379,0.00190,5.67672,0.00175,5.59408,0.00126,-0.00869,0.00064,-0.00897,0.00071,-0.00960,0.00075,0.36619,0.00296,0.39613,0.00340,0.40890,0.00313,40.02381,227.21437,38.64920,221.29347,37.88784,211.20155,292.70304,2677.76596,280.30430,3580.42016,249.04285,5863.10156,247814.02316,68985180482.47000,245965.99306,67354618075.64819,250309.01674,70495200903.61560,29757339.76052,1963700095.13233,27637074.02186,1539202416.82585,26410982.42998,1316330845.00788,0
10,0.00895,0.00000,0.01767,0.00000,0.05691,0.00001,7.39367,0.00238,6.44178,0.00981,4.82767,0.00972,-0.00557,0.00017,-0.00624,0.00051,0.00690,0.00098,0.22113,0.00198,0.28202,0.00200,0.47295,0.00212,66.16301,398.88837,34.67399,119.71272,14.77264,39.99289,3117.02769,11557688.05305,2901.91935,10199477.48493,3597.98574,15670849.24814,597124.05497,601513972209.85645,526619.20900,502358281853.47327,686571.69950,877434757086.87634,56754001.06276,9103952934.60802,38083362.19654,2925440121.96728,19546945.67347,668819890.35326,1
